datetime,pred_pm25,cat_pm25,pred_pm10,cat_pm10
2025-07-16 23:00:00,8.154800000000002,Good,11.999400000000001,Good
2025-07-17 00:00:00,9.174300000000004,Good,15.813599999999997,Good
2025-07-17 01:00:00,9.247400000000004,Good,16.114099999999997,Good
2025-07-17 02:00:00,9.081700000000005,Good,15.701699999999999,Good
2025-07-17 03:00:00,9.224700000000006,Good,16.322799999999997,Good
2025-07-17 04:00:00,9.006700000000004,Good,15.887499999999994,Good
2025-07-17 05:00:00,8.3251,Good,13.884199999999996,Good
2025-07-17 06:00:00,7.277200000000001,Good,13.553999999999988,Good
2025-07-17 07:00:00,7.823799999999993,Good,12.796199999999988,Good
2025-07-17 08:00:00,7.6229999999999905,Good,11.259899999999993,Good
2025-07-17 09:00:00,7.63939999999999,Good,11.416799999999991,Good
